REVISION  VERSION                     ARCH     STATUS                 CREATED
--------  --------------------------  -------  ---------------------  ----------
27221     2.75.2+g307.f5298d3         ppc64el  Published              2026-05-14
27220     2.75.2+g307.f5298d3+fips    arm64    Published              2026-05-14
27219     2.75.2+g307.f5298d3         armhf    Published              2026-05-14
27218     2.75.2+g307.f5298d3         arm64    Published              2026-05-14
27217     2.75.2+g307.f5298d3+fips    amd64    Published              2026-05-14
27216     2.75.2+g307.f5298d3         amd64    Published              2026-05-14
27215     2.75.2+g307.f5298d3         s390x    Published              2026-05-14
27214     2.75.2+g306.a0d8e70         ppc64el  Published              2026-05-12
27213     2.75.2+g306.a0d8e70         amd64    Published              2026-05-12
27212     2.75.2+g306.a0d8e70         armhf    Published              2026-05-12
27211     2.75.2+g306.a0d8e70+fips    arm64    Published              2026-05-12
27210     2.75.2+g306.a0d8e70         arm64    Published              2026-05-12
27209     2.75.2+g306.a0d8e70+fips    amd64    Published              2026-05-12
27208     2.75.2+g306.a0d8e70         s390x    Published              2026-05-12
27207     2.75.2+g305.496d4a1         ppc64el  Published              2026-05-11
27206     2.75.2+g305.496d4a1+fips    arm64    Published              2026-05-11
27205     2.75.2+g305.496d4a1         armhf    Published              2026-05-11
27204     2.75.2+g305.496d4a1         arm64    Published              2026-05-11
27203     2.75.2+g305.496d4a1+fips    amd64    Published              2026-05-11
27202     2.75.2+g305.496d4a1         amd64    Published              2026-05-11
27201     2.75.2+g305.496d4a1         s390x    Published              2026-05-11
27200     2.75.2+g304.a99cf1a         s390x    Published              2026-05-08
27199     2.75.2+g304.a99cf1a         ppc64el  Published              2026-05-08
27198     2.75.2+g304.a99cf1a         arm64    Published              2026-05-08
27197     2.75.2+g304.a99cf1a+fips    arm64    Published              2026-05-08
27196     2.75.2+g304.a99cf1a         armhf    Published              2026-05-08
27195     2.75.2+g304.a99cf1a+fips    amd64    Published              2026-05-08
27194     2.75.2+g304.a99cf1a         amd64    Published              2026-05-08
27193     2.75.2+g301.8973825         riscv64  Published              2026-05-08
27192     2.75.2+g301.8973825         ppc64el  Published              2026-05-08
27191     2.75.2+g301.8973825         arm64    Published              2026-05-08
27190     2.75.2+g301.8973825+fips    arm64    Published              2026-05-08
27189     2.75.2+g301.8973825         armhf    Published              2026-05-08
27188     2.75.2+g301.8973825+fips    amd64    Published              2026-05-08
27187     2.75.2+g301.8973825         s390x    Published              2026-05-08
27186     2.75.2+g301.8973825         amd64    Published              2026-05-08
27185     2.75.2+g295.cef124a         riscv64  Published              2026-05-08
